CropId,PestDiseases,MinTemp,MaxTemp,MinHum,MaxHum,Treatment
Sugarcane,Early shoot borer,17.6,39.6,38,93,"Cultural control:Deep summer ploughing Inter culture and hand weeding,Timely irrigation,Light earthing up of crops three months after planting,Grow onion/garlic/coriander as intercrop,In ratoon crop mulching with trash reduce shoot borer attack"
Sugarcane,White woolly aphid,15,28,80,95,"Cultural control:De-trashing of canes if infestation exceeds low intensity and remove water shoots.Paired row system of planting.Avoid excessive use of nitrogenous fertilizers.Use of organic fertilizers.Rapping of canes all along the rows.Do not transport Infested tops,Infested canes should not be used as seed for planting."
Sugarcane,Red rot,25.2,35.4,54.6,82.7,Cultural control:Use resistant or moderately resistant varieties.Any sett showing reddening at the cut ends or at the nodal region should be discarded.Healthy setts should be planted. Such setts must be produced from crop raised from heat treatment of seed canes in moist hot air at 54° C for 2.5 hour at 99% humidity.Remove aff ected clump along with root system and burn.Bunding of aff ected fi eld should be done to avoid movement of rain or fl oodwater to healthy fields.Ratooning of diseased crop should be avoided.Diseased crop should be harvested as early as possible.Crop rotation should be followed in aff ected fields.Use yellow sticky traps for the control of aphid vector.
Sugarcane,Smut,26,34,99,100,Cultural control:Use resistant or moderately resistant varieties.Any sett showing reddening at the cut ends or at the nodal region should be discarded.Healthy setts should be planted. Such setts must be produced from crop raised from heat treatment of seed canes in moist hot air at 54° C for 2.5 hour at 99% humidity.Remove affected clump along with root system and burn.Bunding of aff ected fi eld should be done to avoid movement of rain or fl oodwater to healthy fields.Ratooning of diseased crop should be avoided.Diseased crop should be harvested as early as possible.Crop rotation should be followed in aff ected fi elds.Use yellow sticky traps for the control of aphid vector.
Sugarcane,Grassy shoot,22.9,25.7,78,84,Cultural control:Use resistant or moderately resistant varieties.Any sett showing reddening at the cut ends or at the nodal region should be discarded.Healthy setts should be planted. Such setts must be produced from crop raised from heat treatment of seed canes in moist hot air at 54° C for 2.5 hour at 99% humidity.Remove aff ected clump along with root system and burn.Bunding of aff ected fi eld should be done to avoid movement of rain or floodwater to healthy fields.Ratooning of diseased crop should be avoided.Diseased crop should be harvested as early as possible.Crop rotation should be followed in aff ected fi elds.Use yellow sticky traps for the control of aphid vector.
Sugarcane,Pokkah boeng,20,30,80,95,Cultural control:Use resistant or moderately resistant varieties.Any sett showing reddening at the cut ends or at the nodal region should be discarded.Healthy setts should be planted. Such setts must be produced from crop raised from heat treatment of seed canes in moist hot air at 54° C for 2.5 hour at 99% humidity.Remove affected clump along with root system and burn.Bunding of aff ected fi eld should be done to avoid movement of rain or fl oodwater to healthy fields.Ratooning of diseased crop should be avoided.Diseased crop should be harvested as early as possible.Crop rotation should be followed in aff ected fi elds.Use yellow sticky traps for the control of aphid vector.
Jawar,Shoot fly,18,35,80,95,Cultural control:Early sowing to avoid the active period of shoot fly population.Planting date in kharif 7-10 days onset of monsoon and inrabi end of September to 1st week of October is ideal to escape the shoot fly.High seed rate 1.6 – 2.0 Kg/acre.Tall variety with yellow glossy stem less attacked
Jawar,Stem borer,19,36,38,94,Cultural control:Select and grow varieties resistant to spotted stem borer. Sow the lablab or cowpea or pigeon pea as an intercrop (Sorghum: Lablab4:1) reduces the damage by stem borers.
Jawar,Armyworm,19,35,42,94,Remove weeds from fields and surrounding areas
Jawar,Charcoal rot,27,35,NA,,Cultural control:Plant varieties with good stalk strength.Plant in fertile soil.Avoid high plant populations unless irrigating.Rotate with cotton.
Jawar,Loose smut,20,25,NA,,Cultural control:Collect smutted ear-heads in cloth bags and destroy by dipping in boiling water or bury in soil.Avoid ratooning.
Jawar,Rust,10,12,NA,,Cultural control:Remove the alternate host Oxalis comiculata.
PigeonPea,Pod borer,30,33,25.57,8.7,Cultural control:Growing trap crop like marigold on the borders and in between rows as intercrop.Their fl owers shall attract oviposition which can be plucked and disposed off .Follow ridge planting + cover crops like soybean cowpea blackgram greengram moth bean.Raise one row of sunfl ower as intercrop for every 9 rows of pigeon pea.
PigeonPea,Plume moth,30,33,NA,,Chemical control:Carbaryl 10% DP @ 8000 g/acre or monocrotophos 36% SL @ 250 ml in 200-400 l of water/acre
PigeonPea,Pod fly,30,33,NA,,Chemical control:Dimethoate 30% EC @ 264 ml in 200-400 l of water/acre or monocrotophos 36%SL @ 250 ml in 200-400 l of water/acre or quinalphos 25% EC @ 560 ml in 200-400 l of water/acre or lufenuron 5.4% EC @ 240 ml in 200-400 l of water/acre or lambdacyhalothrin 5% EC @ 160 200 ml in 160-240 l of water/acre or carbaryl 10% DP @8000 g/acre.
ChickPea,Wilt,17,25,NA,,"Dark brown encrustation on the pod wall.Dry pods showing pin head size hole.Seeds shriveled, striped and partially eaten"
PigeonPea,Wilt,17,25,NA,,"Dark brown encrustation on the pod wall.Dry pods showing pin head size hole.Seeds shriveled, striped and partially eaten"
Wheat,Powdery mildew,20,21,80,95,Cultural control:The disease severity is more in some pockets and most of the present varieties do not have adequate resistance.Chemical control:Triadimefon 25% WP @ 200 g in 300 l of water/acre
